"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.01.2024","1,1608","1,1881","1,1905","1,1455","","-2,27%"
"01.12.2023","1,1878","1,1426","1,2001","1,1336","","3,99%"
"01.11.2023","1,1422","1,0983","1,1515","1,0972","","4,01%"
"01.10.2023","1,0982","1,0933","1,1252","1,0816","","0,52%"
"01.09.2023","1,0925","1,1320","1,1370","1,0839","","-3,48%"
"01.08.2023","1,1319","1,1468","1,1508","1,1264","","-1,29%"
"01.07.2023","1,1467","1,1177","1,1694","1,1104","","2,71%"
"01.06.2023","1,1164","1,0977","1,1235","1,0963","","1,69%"
"01.05.2023","1,0978","1,1188","1,1338","1,0929","","-1,82%"
"01.04.2023","1,1181","1,0932","1,1298","1,0872","","2,32%"
"01.03.2023","1,0928","1,0613","1,1025","1,0591","","3,00%"
"01.02.2023","1,0610","1,0911","1,1038","1,0602","","-2,77%"
"01.01.2023","1,0912","1,0817","1,1008","1,0627","","0,92%"
"01.12.2022","1,0813","1,0572","1,0869","1,0567","","2,30%"
"01.11.2022","1,0570","0,9987","1,0687","0,9853","","5,86%"
"01.10.2022","0,9985","1,0128","1,0225","0,9852","","-1,43%"
"01.09.2022","1,0130","1,0230","1,0551","1,0033","","-0,96%"
"01.08.2022","1,0228","1,0503","1,0671","1,0195","","-2,65%"
"01.07.2022","1,0506","1,0468","1,0525","1,0113","","0,36%"
"01.06.2022","1,0468","1,0423","1,0532","0,9947","","0,45%"
"01.05.2022","1,0421","1,0301","1,0477","0,9934","","1,47%"
"01.04.2022","1,0270","1,0836","1,0847","1,0246","","-5,21%"
"01.03.2022","1,0834","1,0908","1,0929","1,0569","","-0,65%"
"01.02.2022","1,0905","1,0785","1,0929","1,0754","","1,14%"
"01.01.2022","1,0782","1,0971","1,0999","1,0702","","-1,61%"
"01.12.2021","1,0958","1,0883","1,0986","1,0757","","0,72%"
"01.11.2021","1,0880","1,0913","1,1005","1,0667","","-0,34%"
"01.10.2021","1,0917","1,0731","1,0986","1,0709","","1,73%"
"01.09.2021","1,0731","1,0929","1,0971","1,0673","","-1,77%"
"01.08.2021","1,0924","1,1034","1,1090","1,0819","","-1,05%"
"01.07.2021","1,1040","1,0812","1,1064","1,0781","","2,16%"
"01.06.2021","1,0807","1,1122","1,1204","1,0795","","-2,78%"
"01.05.2021","1,1116","1,0955","1,1198","1,0911","","1,56%"
"01.04.2021","1,0945","1,0599","1,1014","1,0555","","3,30%"
"01.03.2021","1,0595","1,0993","1,1037","1,0572","","-3,73%"
"01.02.2021","1,1006","1,1233","1,1273","1,0985","","-1,98%"
"01.01.2021","1,1228","1,1337","1,1421","1,1201","","-0,58%"
"01.12.2020","1,1293","1,1002","1,1374","1,0994","","2,69%"
"01.11.2020","1,0997","1,0920","1,1135","1,0860","","0,85%"
"01.10.2020","1,0904","1,0859","1,1076","1,0847","","0,45%"
"01.09.2020","1,0855","1,1066","1,1114","1,0753","","-1,88%"
"01.08.2020","1,1063","1,0974","1,1113","1,0821","","1,01%"
"01.07.2020","1,0952","1,0557","1,1043","1,0532","","3,76%"
"01.06.2020","1,0555","1,0400","1,0667","1,0361","","1,49%"
"01.05.2020","1,0400","1,0355","1,0430","1,0220","","0,42%"
"01.04.2020","1,0356","1,0406","1,0423","1,0201","","-0,46%"
"01.03.2020","1,0404","1,0350","1,0879","1,0096","","0,46%"
"01.02.2020","1,0356","1,0368","1,0407","1,0152","","-0,23%"
"01.01.2020","1,0380","1,0330","1,0403","1,0237","","0,50%"
"01.12.2019","1,0328","0,9994","1,0368","0,9991","","3,32%"
"01.11.2019","0,9996","1,0138","1,0152","0,9976","","-1,37%"
"01.10.2019","1,0135","1,0020","1,0163","0,9971","","1,17%"
"01.09.2019","1,0018","1,0104","1,0207","1,0011","","-0,79%"
"01.08.2019","1,0098","1,0059","1,0353","1,0024","","0,40%"
"01.07.2019","1,0058","1,0214","1,0224","1,0048","","-1,80%"
"01.06.2019","1,0242","0,9985","1,0317","0,9980","","2,53%"
"01.05.2019","0,9989","0,9811","1,0000","0,9778","","1,82%"
"01.04.2019","0,9810","1,0056","1,0066","0,9768","","-2,34%"
"01.03.2019","1,0045","1,0016","1,0107","0,9876","","0,30%"
"01.02.2019","1,0015","1,0058","1,0080","0,9901","","-0,39%"
"01.01.2019","1,0054","1,0187","1,0294","1,0005","","-1,29%"
"01.12.2018","1,0185","1,0030","1,0215","0,9991","","1,76%"
"01.11.2018","1,0009","0,9916","1,0093","0,9872","","0,97%"
"01.10.2018","0,9913","1,0202","1,0206","0,9905","","-2,62%"
"01.09.2018","1,0180","1,0320","1,0481","1,0181","","-1,35%"
"01.08.2018","1,0319","1,0099","1,0360","1,0014","","2,21%"
"01.07.2018","1,0096","1,0094","1,0145","0,9931","","0,07%"
"01.06.2018","1,0089","1,0144","1,0217","1,0007","","-0,53%"
"01.05.2018","1,0143","1,0092","1,0178","0,9939","","0,52%"
"01.04.2018","1,0091","1,0487","1,0497","1,0079","","-3,65%"
"01.03.2018","1,0473","1,0586","1,0709","1,0433","","-1,05%"
"01.02.2018","1,0584","1,0737","1,0885","1,0559","","-1,40%"
"01.01.2018","1,0734","1,0262","1,0766","1,0156","","4,59%"
"01.12.2017","1,0263","1,0167","1,0273","1,0021","","0,96%"
"01.11.2017","1,0165","1,0024","1,0228","0,9962","","1,44%"
"01.10.2017","1,0021","1,0328","1,0330","0,9962","","-2,95%"
"01.09.2017","1,0326","1,0431","1,0615","1,0235","","-1,00%"
"01.08.2017","1,0430","1,0345","1,0605","1,0231","","0,87%"
"01.07.2017","1,0340","1,0431","1,0596","1,0280","","-0,89%"
"01.06.2017","1,0433","1,0334","1,0469","1,0234","","0,99%"
"01.05.2017","1,0331","1,0058","1,0342","0,9901","","2,84%"
"01.04.2017","1,0046","0,9975","1,0108","0,9893","","0,79%"
"01.03.2017","0,9967","0,9942","1,0191","0,9830","","0,27%"
"01.02.2017","0,9940","1,0108","1,0134","0,9859","","-1,64%"
"01.01.2017","1,0106","0,9801","1,0143","0,9674","","2,98%"
"01.12.2016","0,9814","0,9834","0,9980","0,9664","","-0,11%"
"01.11.2016","0,9825","1,0112","1,0475","0,9797","","-2,80%"
"01.10.2016","1,0108","1,0284","1,0316","0,9999","","-1,78%"
"01.09.2016","1,0291","1,0165","1,0375","1,0114","","1,31%"
"01.08.2016","1,0158","1,0314","1,0488","1,0137","","-1,48%"
"01.07.2016","1,0311","1,0245","1,0380","1,0045","","0,66%"
"01.06.2016","1,0243","1,0064","1,0505","1,0046","","1,80%"
"01.05.2016","1,0062","1,0435","1,0591","1,0042","","-3,42%"
"01.04.2016","1,0418","1,0397","1,0531","1,0205","","0,26%"
"01.03.2016","1,0391","1,0016","1,0450","0,9904","","3,81%"
"01.02.2016","1,0010","0,9779","1,0352","0,9754","","2,48%"
"01.01.2016","0,9768","0,9986","1,0121","0,9746","","-2,09%"
"01.12.2015","0,9977","0,9718","1,0219","0,9698","","2,64%"
"01.11.2015","0,9720","1,0123","1,0169","0,9678","","-3,91%"
"01.10.2015","1,0116","1,0278","1,0553","1,0036","","-1,50%"
"01.09.2015","1,0270","1,0340","1,0500","1,0155","","-0,68%"
"01.08.2015","1,0340","1,0349","1,0806","1,0093","","-0,07%"
"01.07.2015","1,0347","1,0690","1,0718","1,0285","","-3,18%"
"01.06.2015","1,0687","1,0630","1,0932","1,0518","","0,50%"
"01.05.2015","1,0634","1,0720","1,1027","1,0473","","-0,82%"
"01.04.2015","1,0722","1,0283","1,0743","1,0135","","4,29%"
"01.03.2015","1,0281","1,0482","1,0539","0,9872","","-1,96%"
"01.02.2015","1,0487","1,0805","1,0901","1,0472","","-3,35%"
"01.01.2015","1,0851","1,0056","1,3433","0,9765","","7,91%"